FULL NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,Points per game.,Rebounds per game.,Assists per game,Steals per game,Blocks per game,Turnovers per game
Giannis Antetokounmpo,Mil,F,27.27,58,32.8,666,0.721,855,0.611,218,0.303,29.7,11.5,5.9,1.05,1.36,3.19
Stephen Curry,Gol,G,34,63,34.9,298,0.923,474,0.527,746,0.381,25.8,5.3,6.4,1.35,0.37,3.21
DeMar DeRozan,Chi,G-F,32.6,64,36.1,508,0.872,1179,0.52,116,0.345,28,5.4,5.1,0.92,0.31,2.36
Joel Embiid,Phi,C-F,28,55,33.3,656,0.822,854,0.514,205,0.366,29.9,11.3,4.3,1.05,1.47,2.98
LeBron James,Lal,F,37.2,50,36.9,299,0.766,668,0.618,398,0.362,29.7,8.2,6.2,1.4,1.06,3.46
Nikola Jokic,Den,C,27.07,62,33.1,368,0.804,814,0.643,258,0.349,26,13.8,8.1,1.34,0.84,3.74
Ja Morant,Mem,G,22.6,55,33.3,399,0.762,887,0.537,252,0.341,27.5,5.8,6.7,1.2,0.38,3.38
Jayson Tatum,Bos,F-G,24.03,65,36.4,405,0.852,812,0.511,558,0.337,26.8,8.2,4.2,0.94,0.66,2.83
Andrew Wiggins,Gol,F,27.06,62,31.8,189,0.63,524,0.515,342,0.401,17.3,4.4,2.3,1.1,0.76,1.5
Trae Young,Atl,G,23.49,63,34.8,457,0.899,801,0.504,493,0.383,28.3,3.9,9.4,0.95,0.11,3.97